DOI	title	link_url	journal
https://doi.org/10.1103/PhysRevA.95.031401	Attosecond transient-absorption dynamics of xenon core-excited states in a strong driving field	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.031401	pra
https://doi.org/10.1103/PhysRevA.95.032104	Using electric fields for pulse compression and group-velocity control	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032104	pra
https://doi.org/10.1103/PhysRevA.95.020102	Unbounded randomness certification using sequences of measurements	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.020102	pra
https://doi.org/10.1103/PhysRevA.95.022110	Random search for a dark resonance	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.022110	pra
https://doi.org/10.1103/PhysRevA.95.023821	Fractional-topological-charge-induced vortex birth and splitting of light fields on the submicron scale	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.023821	pra
https://doi.org/10.1103/PhysRevA.95.022312	Quantum repeaters using continuous-variable teleportation	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.022312	pra
https://doi.org/10.1103/PhysRevA.95.023605	Vortex dynamics in coherently coupled Bose-Einstein condensates	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.023605	pra
https://doi.org/10.1103/PhysRevA.95.023807	Creation of two-photon states via interactions between Rydberg atoms during light storage	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.023807	pra
https://doi.org/10.1103/PhysRevD.94.103008	Towards generating a new supernova equation of state: A systematic analysis of cold hybrid stars	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.103008	prd
https://doi.org/10.1103/PhysRevD.94.106007	Evolution of segmented strings	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.106007	prd
https://doi.org/10.1103/PhysRevD.94.105006	Matter-neutrino resonance transitions above a neutron star merger remnant	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.105006	prd
https://doi.org/10.1103/PhysRevD.94.103506	First detection of cosmic microwave background lensing and Lyman-<span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mrow><mi>α</mi></mrow></math></span> forest bispectrum	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.103506	prd
https://doi.org/10.1103/PhysRevD.94.106002	Remarks on the Sachdev-Ye-Kitaev model	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.106002	prd
https://doi.org/10.1103/PhysRevD.94.085031	Multi-Higgs-boson production in gluon fusion at 100 TeV	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.085031	prd
https://doi.org/10.1103/PhysRevD.94.074507	Lattice calculation of the pion transition form factor <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mrow><msup><mrow><mi>π</mi></mrow><mrow><mn>0</mn></mrow></msup><mo stretchy="false">→</mo><msup><mrow><mi>γ</mi></mrow><mrow><mo>*</mo></mrow></msup><msup><mrow><mi>γ</mi></mrow><mrow><mo>*</mo></mrow></msup></mrow></math></span>	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.074507	prd
https://doi.org/10.1103/PhysRevD.94.084046	Gravitational action with null boundaries	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.084046	prd
https://doi.org/10.1103/PhysRevD.94.084027	Phonon spectrum and correlations in a transonic flow of an atomic Bose gas	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.084027	prd
https://doi.org/10.1103/PhysRevD.94.072003	Measurement of the <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mrow><mn>2</mn><mo>ν</mo><mi>β</mi><mi>β</mi></mrow></math></span> decay half-life of <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mrow><mmultiscripts><mrow><mi>Nd</mi></mrow><mprescripts></mprescripts><none></none><mrow><mn>150</mn></mrow></mmultiscripts></mrow></math></span> and a search for <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mn>0</mn><mo>ν</mo><mi>β</mi><mi>β</mi></math></span> decay processes with the full exposure from the NEMO-3 detector	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.072003	prd
https://doi.org/10.1103/PhysRevD.94.084002	Theoretical physics implications of the binary black-hole mergers GW150914 and GW151226	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.084002	prd
https://doi.org/10.1103/PhysRevD.94.082002	Search for ultrarelativistic magnetic monopoles with the Pierre Auger observatory	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.082002	prd
https://doi.org/10.1103/PhysRevD.94.052010	Solar neutrino measurements in Super-Kamiokande-IV	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.052010	prd
https://doi.org/10.1103/PhysRevD.94.052008	Antiproton charge radius	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.052008	prd
https://doi.org/10.1103/PhysRevD.94.063006	Positive charge prevalence in cosmic rays: Room for dark matter in the positron spectrum	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.063006	prd
https://doi.org/10.1103/PhysRevD.94.054013	Single spin asymmetry in forward <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mrow><mi>p</mi><mi>A</mi></mrow></math></span> collisions	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.054013	prd
https://doi.org/10.1103/PhysRevD.94.033009	Neutrino quantum kinetic equations: The collision term	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.033009	prd
https://doi.org/10.1103/PhysRevD.94.043519	Bias to CMB lensing measurements from the bispectrum of large-scale structure	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.043519	prd
https://doi.org/10.1103/PhysRevD.94.044030	Astrophysical applications of the post-Tolman-Oppenheimer-Volkoff formalism	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.044030	prd
https://doi.org/10.1103/PhysRevD.94.041701	The polynomial form of the scattering equations is an <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mi>H</mi></math></span>-basis	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.041701	prd
https://doi.org/10.1103/PhysRevD.94.025026	Neutrinos from type Ia supernovae: The deflagration-to-detonation transition scenario	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.025026	prd
https://doi.org/10.1103/PhysRevD.94.015019	Detecting ultralight bosonic dark matter via absorption in superconductors	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.015019	prd
https://doi.org/10.1103/PhysRevD.94.014003	Cautionary tale of mismeasured tails from <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML" display="inline"><mi>q</mi><mo stretchy="false">/</mo><mi>g</mi></math></span> bias	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.014003	prd
https://doi.org/10.1103/PhysRevD.94.023504	Constructing perturbation theory kernels for large-scale structure in generalized cosmologies	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.023504	prd
https://doi.org/10.1103/PhysRevD.93.124059	Integration of inhomogeneous cosmological spacetimes in the BSSN formalism	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.93.124059	prd
https://doi.org/10.1103/PhysRevB.95.094120	Hyperuniform disordered phononic structures	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.094120	prb
https://doi.org/10.1103/PhysRevB.95.115155	Quantum mechanics in an evolving Hilbert space	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.115155	prb
https://doi.org/10.1103/PhysRevB.95.125136	Multiple Weyl points and the sign change of their topological charges in woodpile photonic crystals	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.125136	prb
https://doi.org/10.1103/PhysRevB.95.115150	Sachdev-Ye-Kitaev model and thermalization on the boundary of many-body localized fermionic symmetry-protected topological states	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.115150	prb
https://doi.org/10.1103/PhysRevB.95.115151	Superconducting and ferromagnetic phase diagram of UCoGe probed by thermal expansion	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.115151	prb
https://doi.org/10.1103/PhysRevB.95.104206	Localization in random fractal lattices	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.104206	prb
https://doi.org/10.1103/PhysRevB.95.104433	Impact of the skyrmion spin texture on magnetoresistance	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.104433	prb
https://doi.org/10.1103/PhysRevB.95.094206	Operator entanglement entropy of the time evolution operator in chaotic systems	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.094206	prb
